Lektion,Deutsch,Turkisch,Arabisch (العربية),Farsi (فارسی),Kurdisch (Kurmancî),Ukrainisch (Українська),Englisch,Beispiel Satz
2,erfüllen,Yerine getirmek,يلبي / يحقق,برآورده کردن,Pêk anîn,виконувати / задовольняти,to fulfill,"Wenn man seine Träume erfüllen möchte, muss man oft bereit sein, gewisse Risiken einzugehen."
2,hinterlassen,Bırakmak (mesaj vb.),يترك (أثراً أو رسالة),به جا گذاشتن,Hiştin,залишати (після себе),to leave behind,"Er hat eine Nachricht auf dem Anrufbeantworter hinterlassen, da ich telefonisch nicht erreichbar war."
2,sich spezialisieren auf,Uzmanlaşmak,يتخصص في,متخصص شدن در,Pispor bûn li ser,спеціалізуватися на,to specialize in,Unsere Kanzlei hat sich vor allem auf Fragen des internationalen Urheberrechts spezialisiert.
2,verdreifachen,Üç katına çıkarmak,يضاعف ثلاث مرات,سه برابر کردن,Sê qat kirin,потроїти,to triple,Durch die Erschließung neuer Märkte konnte das Unternehmen seinen Gewinn fast verdreifachen.
2,am Laufen halten,Devam etmesini sağlamak,يبقيه قيد التشغيل,در جریان نگه داشتن,Berdewam kirin,підтримувати в робочому стані,to keep running,"Es erfordert viel Organisationstalent, ein so großes Projekt über Monate hinweg am Laufen zu halten."
2,kreativ,Yaratıcı,مبدع,خلاق,Afirîner,креативний,creative,"Um komplexe Probleme zu lösen, muss man oft unkonventionelle und kreative Wege gehen."
2,ungezwungen,"Rahat, doğal",غير متكلف / طبيعي,بی‌آلایش,Azad / Siruştî,невимушений,informal / casual,"Bei der Firmenfeier herrschte eine sehr ungezwungene Atmosphäre, in der sich jeder wohlfühlte."
2,unkonventionell,Alışılagelmişin dışında,غير تقليدي,غیرمتعارف,Ne adetî,нетрадиційний,unconventional,Seine unkonventionellen Methoden führten überraschenderweise schneller zum Ziel als gedacht.
2,"das Gewissen, -",Vicdan,ضمير,وجدان,Wijdan,совість,conscience,"Er hat ein schlechtes Gewissen, weil er seinen Kollegen bei der Arbeit im Stich gelassen hat."
2,die Offenheit,"Açıklık, dürüstlük",صراحة / انفتاح,صراحت / گشادگی,Vekirîbûn,відкритість,openness,In einer guten Partnerschaft ist radikale Offenheit die Basis für gegenseitiges Vertrauen.
2,"das Stichwort, -e",Anahtar kelime,كلمة مفتاحية,واژه کلیدی,Peyva sereke,ключове слово,keyword,"Bitte notieren Sie sich nur die wichtigsten Stichworte, während ich meinen Vortrag halte."
2,pendeln,İşe gidip gelmek (uzak mesafe),يتنقل للعمل,رفت و آمد کردن,Hatûnçûn,курсувати / їздити на роботу,to commute,"Viele Menschen müssen täglich über weite Strecken pendeln, um zu ihrem Arbeitsplatz zu gelangen."
2,Bezug nehmen auf,Atıfta bulunmak,يشير إلى / يستند إلى,مرجع قرار دادن,Sipartin ser,посилатися на,to refer to,Ich möchte Bezug nehmen auf Ihre E-Mail vom Montag bezüglich der ausstehenden Rechnung.
2,ein Gespräch führen,Sohbet/görüşme yapmak,يجري محادثة,گفتگو کردن,Axaftin kirin,вести розмову,to lead a conversation,Der Personalchef wird morgen mit allen Bewerbern ein persönliches Gespräch führen.
2,sich die Zeit vertreiben,Vakit geçirmek,يقضي وقته,وقت‌گذرانی کردن,Dem derbaskirin,гаяти час,to pass the time,Während der langen Zugfahrt vertrieb er sich die Zeit mit dem Lesen eines spannenden Romans.
2,flüssig,Akıcı,بطلاقة / سائل,روان,Herikbar,рідкий / побіжний,fluently,Nach zwei Jahren in Spanien spricht sie die Sprache mittlerweile absolut flüssig und fehlerfrei.
2,aufgrund,...den dolayı,بسبب,به دلیل,Ji ber,на підставі / через,due to,Aufgrund der schlechten Wetterverhältnisse musste der Flug leider kurzfristig annulliert werden.
2,ausführlich,Ayrıntılı,مفصل,مفصل,Bi hûrgulî,детальний,detailed,In seinem Bericht beschreibt er ausführlich die Ursachen für das Scheitern des Experiments.
2,dank,Sayesinde,بفضل,به لطف,Bi saya,завдяки,thanks to,Dank deiner tatkräftigen Unterstützung konnten wir den Umzug in Rekordzeit abschließen.
2,zumindest,En azından,على الأقل,حداقل,Herî kêm,принаймні,at least,"Wenn du schon nicht mitkommst, hättest du zumindest vorher kurz Bescheid sagen können."
2,"das Arbeitsgericht, -e",İş mahkemesi,محكمة العمل,دادگاه کار,Dadgeha kar,трудовий суд,labor court,"Er hat gegen seine Kündigung geklagt, weshalb der Fall nun vor dem Arbeitsgericht landet."
2,"der Arbeitsrechtler, -",İş hukuku uzmanı,محامي قانون العمل,وکیل قانون کار,Parêzerê kar,юрист з трудового права,labor lawyer,"Bevor Sie den Aufhebungsvertrag unterschreiben, sollten Sie einen erfahrenen Arbeitsrechtler konsultieren."
2,die Aufregung,"Heyecan, telaş",انفعال / اضطراب,هیجان,Heyecan,хвилювання,excitement / fuss,Die plötzliche Nachricht von der Schließung der Abteilung sorgte für große Aufregung im Team.
2,das Aufsehen,"İlgi, gürültü",ضجة / اهتمام,جنجال / توجه,Bala xelkê,сенсація / галас,sensation,"Seine mutige Entscheidung, die Missstände öffentlich zu machen, erregte großes Aufsehen."
2,Aufsehen erregen,İlgi uyandırmak,يثير ضجة,جلب توجه کردن,Bala her kesî kişandin,викликати сенсацію,to cause a stir / to attract attention,Die neue Entdeckung des Wissenschaftlers wird weltweit großes Aufsehen erregen.
2,"die Besprechung, -en","Toplantı, müzakere",اجتماع / نقاش,جلسه / بحث,Civîn,нарада / обговорення,meeting,Während der Besprechung wurden die neuen Ziele für das kommende Geschäftsjahr festgelegt.
2,"der Diebstahl, -¨e",Hırsızlık,سرقة,سرقت,Dizî,крадіжка,theft,Nach dem Diebstahl wertvoller Firmendaten wurden die Sicherheitsvorkehrungen massiv verschärft.
2,"das Einverständnis, -se","Rıza, onay",موافقة / قبول,توافق / رضایت,Pejirandin,згода,consent,Ohne das ausdrückliche Einverständnis des Kunden dürfen diese Daten nicht gespeichert werden.
2,"der Fachanwalt, -¨e",Uzman avukat,محامٍ متخصص,وکیل متخصص,Parêzerê pispor,адвокат-спеціаліст,specialist lawyer,Er ist ein anerkannter Fachanwalt für Verkehrsrecht und hat schon viele schwierige Fälle gewonnen.
2,"die Genehmigung, -en","İzin, onay",تصريح / إذن,مجوز / اجازه,Destûr,дозвіл,permit / approval,"Um auf diesem Gelände bauen zu dürfen, benötigt man eine offizielle staatliche Genehmigung."
2,"der Keks, -e","Bisküvi, kurabiye",بسكويت,بیسکویت,Bisquvît,печиво,cookie,Während der Kaffeepause standen auf dem Tisch frische Kekse und Obst für die Mitarbeiter bereit.
2,"die Sitte, -n","Gelenek, örf",عادة / عرف,رسم و رسوم,Dab û nêrît,звичай,custom,"Es ist in dieser Region eine alte Sitte, Gäste mit einem traditionellen Essen zu begrüßen."
2,aufladen,Şarj etmek / yüklemek,يشحن,شارژ کردن,Şarj kirin,заряджати,to charge,"Ich muss dringend mein Handy aufladen, da der Akku fast leer ist und ich einen Anruf erwarte."
2,sich befassen mit,Bir şeyle ilgilenmek,يتعامل مع / يدرس,مشغول شدن با,Mijûl bûn bi,займатися чимось,to deal with,Die Wissenschaftler befassen sich seit Jahren intensiv mit den Folgen des Klimawandels.
2,naschen,Atıştırmak (tatlı vb.),يتذوق / يأكل خلسة,ناخنک زدن,Şîranî xwarin,ласувати,to snack (sweets),"Kinder lieben es, heimlich aus der Vorratskammer Schokolade und andere Süßigkeiten zu naschen."
2,Bedenken äußern,Şüphelerini dile getirmek,يبدي تخوفاً,ابراز تردید کردن,Guman anîn ziman,висловлювати сумніви,to express concerns,Einige Experten äußerten ernsthafte Bedenken hinsichtlich der Sicherheit der neuen Technologie.
2,den Job kosten,İşinden olmak,يكلفه وظيفته,به قیمت شغل تمام شدن,Ji kar derxistin,коштувати роботи,to cost one's job,Solche schwerwiegenden Fehler in der Buchhaltung können einen im schlimmsten Fall den Job kosten.
2,ausdrücklich,"Açıkça, kesinlikle",صراحة / بوضوح,صریحاً,Bi eşkereyî,виразно / категорично,explicitly,"Ich habe dich ausdrücklich davor gewarnt, diese vertraulichen Informationen an Dritte weiterzugeben."
2,bedenklich,"Şüpheli, düşündürücü",مثير للقلق,نگران‌کننده,Bikuman,сумнівний,dubious / worrying,Die Entwicklung der Arbeitslosenzahlen in dieser Region ist äußerst bedenklich und besorgniserregend.
2,fristlos,"İhbar süresiz, derhal",فوري / بدون إنذار,بدون مهلت,Bêmolet,негайний,without notice,Wegen schwerwiegenden Fehlverhaltens wurde dem Mitarbeiter der Arbeitsvertrag fristlos gekündigt.
2,(un)üblich,(Alışılmadık) Olağan,(غير) معتاد,(غیر) معمول,(Ne) Adetî,(не)звичний,common,"In dieser Branche ist es absolut üblich, dass man auch am Wochenende für Kunden erreichbar ist."
2,eine Reihe von,Bir dizi ...,مجموعة من,یک سری از,Rêzek ji,низка / ряд чогось,a series of,"Der Forscher hat eine Reihe von Experimenten durchgeführt, um seine Theorie zu beweisen."
2,"die Konvention, -en","Anlaşma, gelenek",اتفاقية / عرف,معاهده / سنت,Peyman,конвенція,convention,"Manchmal ist es notwendig, mit gesellschaftlichen Konventionen zu brechen, um Neues zu schaffen."
2,"das Anliegen, -","Rica, talep, mesele",طلب / رغبة,درخواست / خواسته,Daxwaz,прохання / справа,concern / request,"Wenn Sie ein dringendes Anliegen haben, können Sie sich jederzeit an unser Service-Team wenden."
2,weswegen,"Bu yüzden, neden",لسبب ما / لماذا,به چه دلیل,Ji ber çi,чому / через що,which is why,"Er war krank, weswegen er leider nicht an der wichtigen Konferenz teilnehmen konnte."
3,"das Medium, -ien","Medya, araç",وسيلة / ميديا,رسانه,Medya / Amraz,засіб / медіум,medium,Das Internet hat sich zum wichtigsten Medium für die Verbreitung von Nachrichten entwickelt.
3,"die Nutzung, -en",Kullanım,استخدام,بهره‌برداری,Bikaranîn,використання,usage,Die übermäßige Nutzung von Smartphones kann negative Auswirkungen auf die Konzentration haben.
3,benutzen,Kullanmak,يستخدم,استفاده کردن,Bi kar anîn,користуватися,to use,"Heutzutage benutzen fast alle Menschen Apps, um ihre täglichen Aufgaben zu organisieren."
3,nutzen,Yararlanmak,يستفيد من,بهره بردن,سود girtin,використовувати,to use / benefit,"Wir sollten die modernen Technologien nutzen, um globale Probleme effizienter zu lösen."
3,"die Buchhändlerin, -nen",Kadın kitapçı,بائعة كتب,کتاب‌فروش (زن),Pirtûkfiroş,книгарка,book seller (female),Die erfahrene Buchhändlerin konnte mir sofort ein spannendes Buch für meinen Urlaub empfehlen.
3,"die Lesung, -en",Okuma etkinliği,قراءة أدبية,جلسه‌ی کتاب‌خوانی,Xwendin,читання (публічне),reading,Gestern Abend fand in der Stadtbibliothek eine interessante Lesung eines jungen Autors statt.
3,"die Neuheit, -en",Yenilik,ابتكار / حداثة,نوآوری,Nûbûn,новинка,novelty / new product,Auf der Technikmesse wurden zahlreiche Neuheiten aus dem Bereich der Robotik vorgestellt.
3,"das Sachbuch, -¨er",Kurgusal olmayan kitap,كتاب واقعي,کتاب غیرداستانی,Pirtûka zanistî,науково-популярна книга,non-fiction book,Ich lese momentan ein sehr informatives Sachbuch über die Geschichte der Astronomie.
3,"der Stammkunde, -n",Daimi müşteri,زبون دائم,مشتری پر و پا قرص,Mişteriyê herdemî,постійний клієнт,regular customer,Als Stammkunde erhält er in diesem kleinen Buchladen regelmäßig attraktive Rabatte.
3,animieren zu,...ya teşvik etmek,يحفز على,ترغیب کردن به,Handan,спонукати до,to encourage to,"Der Lehrer versucht, seine Schüler durch spannende Projekte zum Lesen zu animieren."
3,beurteilen,"Yargılamak, değerlendirmek",يحكم على / يقيم,قضاوت کردن,Nirxandin,оцінювати,to judge / assess,"Es ist oft schwer, die Qualität eines literarischen Werkes objektiv zu beurteilen."
3,quatschen,"Çene çalmak, boş konuşmak",يدردش / يخرف,گپ زدن,Gewze kirin,базікати,to chat,Wir haben den ganzen Nachmittag nur über belanglose Dinge gequatscht und die Zeit vergessen.
3,angenommen werden,Kabul edilmek,يتم قبوله,پذیرفته شدن,Hatina pejirandin,бути прийнятим,to be accepted,Ihr Vorschlag für die neue Marketingkampagne wurde vom Vorstand begeistert angenommen.
3,verführerisch,Baştan çıkarıcı,مغرٍ,وسوسه‌انگیز,Balkêş / Fitne,спокусливий,seductive / tempting,"Das Angebot klingt sehr verführerisch, aber ich muss erst mein Budget genau prüfen."
3,"die Aufnahme, -n","Kayıt, çekim",تسجيل / لقطة,ضبط / عکس‌برداری,Tomar / Girtin,запис / зйомка,recording / shot,Die Aufnahmen von der Mondlandung sind historische Dokumente von unschätzbarem Wert.
3,"die Luftaufnahme, -n",Havadan çekim,تصوير جوي,عکس‌برداری هوایی,Girtina ji hewayê,аерофотозйомка,aerial photograph,"Die Luftaufnahme zeigt deutlich, wie groß das Ausmaß der Überschwemmung ist."
3,"der Bildband, -¨e",Resimli kitap/albüm,كتاب مصور,کتاب مصور,Pirtûka bişekil,ілюстроване видання,coffee table book,Zu Weihnachten schenkte er mir einen wunderschönen Bildband mit Fotografien aus Island.
3,"die Leseratte, -n",Kitap kurdu,دودة كتب,خوره کتاب,Pirtûkhez,книжковий хробак,bookworm,Schon als Kind war sie eine echte Leseratte und verbrachte jede freie Minute in der Bibliothek.
